claim,assumptions,evidence,label,verification
Martin Luther King Jr. worked on segregated housing in earnest.,"
1. There is factual evidence to support the claim.

2. The evidence was gathered from reputable sources.

3. There was a specific time period during which Martin Luther King Jr. worked on segregated housing, and the claim refers only to that time.

4. The claim does not include all of Martin Luther King Jr.'s work or achievements.

5. The claim does not imply that Martin Luther King Jr. was the only or primary person working on segregated housing during that time.

6. The claim does not imply that Martin Luther King Jr. was successful in his efforts to address segregated housing.

7. The claim does not imply that Martin Luther King Jr. was the only person working on segregated housing, or that he was the only African American to work on segregated housing.

8. The claim does not include all of Martin Luther King Jr.'s beliefs and perspectives on segregation.","Martin Luther King Jr. -LRB- born Michael King Jr. , January 15 , 1929 -- April 4 , 1968 -RRB- was an American Baptist minister and activist who was a leader in the Civil Rights Movement . He is best known for his role in the advancement of civil rights using nonviolent civil disobedience based on his Christian beliefs .   King became a civil rights activist early in his career . He led the 1955 Montgomery bus boycott and helped found the Southern Christian Leadership Conference -LRB- SCLC -RRB- in 1957 , serving as its first president . With the SCLC , King led an unsuccessful 1962 struggle against segregation in Albany , Georgia , and helped organize the 1963 nonviolent protests in Birmingham , Alabama . King also helped to organize the 1963 March on Washington , where he delivered his famous `` I Have a Dream '' speech .   On October 14 , 1964 , King received the Nobel Peace Prize for combating racial inequality through nonviolent resistance . In 1965 , he helped to organize the Selma to Montgomery marches , and the following year he and SCLC took the movement north to Chicago to work on segregated housing . In the final years of his life , King expanded his focus to include opposition towards poverty and the Vietnam War , alienating many of his liberal allies with a 1967 speech titled `` Beyond Vietnam '' .   In 1968 , King was planning a national occupation of Washington , D.C. , to be called the Poor People 's Campaign , when he was assassinated by James Earl Ray on April 4 in Memphis , Tennessee . King 's death was followed by riots in many U.S. cities . Ray , who fled the country , was arrested two months later at London Heathrow Airport . Ray was sentenced to 99 years in prison for King 's murder , and died in 1998 from hepatitis while serving his sentence .   King was posthumously awarded the Presidential Medal of Freedom and the Congressional Gold Medal . Martin Luther King Jr. . Day was established as a holiday in numerous cities and states beginning in 1971 , and as a U.S. federal holiday in 1986 . Hundreds of streets in the U.S. have been renamed in his honor , and a county in Washington State was also renamed for him . The Martin Luther King Jr. . Memorial on the National Mall in Washington , D.C. , was dedicated in 2011 . ",SUPPORTS,"1. SUPPORTED
2. NOT ENOUGH INFO
3. SUPPORTED
4. NOT ENOUGH INFO
5. SUPPORTED
6. NOT ENOUGH INFO
7. SUPPORTED
8. NOT ENOUGH INFO

Majority vote: SUPPORTED"
Massachusetts is far away from Rhode Island.,"- 1. The claim assumes that there is a geographic boundary between the two states of Massachusetts and Rhode Island.
    - 2. The claim assumes that the boundary is a fixed distance, which can be estimated as far away.
    - 3. The claim assumes that the geographic distance between the two states is significant enough to be notable.
    - 4. The claim assumes that the term ""far away"" has a generally accepted meaning and that readers would know what it refers to.
    - 5. The claim assumes that the reader would have knowledge of the physical geography and topography of the region to understand the distance implied.
    - 6. The claim assumes that the reader does not have knowledge of any specific locations that may be closer than the estimated boundary, or any cultural or historical factors that may affect the distance perception.
    - 7. The claim assumes that there is no significant variation in the definition of ""far away"" among different groups of people or communities.
    - 8. The claim assumes that the claim is accurate and not subject to interpretation, error, or bias.","Massachusetts -LSB- mæsəˈtʃuːsᵻts -RSB- or -LSB- ˌmæsəˈtʃuːzᵻts -RSB- ; officially the Commonwealth of Massachusetts , is the most populous state in the New England region of the northeastern United States . It is bordered by the Atlantic Ocean to the east , the states of Connecticut and Rhode Island to the south , New Hampshire and Vermont to the north , and New York to the west . The state is named for the Massachusett tribe , which once inhabited the area . The capital of Massachusetts and the most populous city in New England is Boston . Over 80 % of Massachusetts ' population lives in the Greater Boston metropolitan area , a region influential upon American history , academia , and industry . Originally dependent on agriculture , fishing and trade , Massachusetts was transformed into a manufacturing center during the Industrial Revolution . During the 20th century , Massachusetts ' economy shifted from manufacturing to services . Modern Massachusetts is a global leader in biotechnology , engineering , higher education , finance , and maritime trade .   Plymouth was the site of the first colony in New England , founded in 1620 by the Pilgrims , passengers of the Mayflower . In 1692 , the town of Salem and surrounding areas experienced one of America 's most infamous cases of mass hysteria , the Salem witch trials . In 1777 , General Henry Knox founded the Springfield Armory , which during the Industrial Revolution catalyzed numerous important technological advances , including interchangeable parts . In 1786 , Shays ' Rebellion , a populist revolt led by disaffected American Revolutionary War veterans , influenced the United States Constitutional Convention . In the 18th century , the Protestant First Great Awakening , which swept the Atlantic World , originated from the pulpit of Northampton preacher Jonathan Edwards . In the late 18th century , Boston became known as the `` Cradle of Liberty '' for the agitation there that led to the American Revolution .   The entire Commonwealth of Massachusetts has played a powerful commercial and cultural role in the history of the United States . Before the American Civil War , Massachusetts was a center for the abolitionist , temperance , and transcendentalist movements . In the late 19th century , the sports of basketball and volleyball were invented in the western Massachusetts cities of Springfield and Holyoke , respectively . In 2004 , Massachusetts became the first U.S. state to legally recognize same-sex marriage as a result of the decision in Goodridge v. Department of Public Health by the Massachusetts Supreme Judicial Court . Many prominent American political dynasties have hailed from the state , including the Adams and Kennedy families . Harvard University in Cambridge is the oldest institution of higher learning in the United States , with the largest financial endowment of any university , and Harvard Law School has educated a contemporaneous majority of Justices of the Supreme Court of the United States . Kendall Square in Cambridge has been called `` the most innovative square mile on the planet '' , in reference to the high concentration of entrepreneurial start-ups and quality of innovation which have emerged in the vicinity of the square since 2010 . Both Harvard University and the Massachusetts Institute of Technology , also in Cambridge , have been ranked among the most highly regarded academic institutions in the world . Massachusetts ' public school students place among the top nations in the world in academic performance . ",REFUTES,"1. SUPPORTED (The evidence states that Massachusetts is bordered by the state of Rhode Island to the south.)
2. NOT ENOUGH INFO (The evidence does not provide any specific distance or estimation of the boundary between the two states.)
3. NOT ENOUGH INFO (The evidence does not provide any information about the geographic distance between the two states.)
4. NOT ENOUGH INFO (The evidence does not mention the term ""far away"" or its meaning.)
5. SUPPORTED (The evidence provides information about the physical geography and topography of Massachusetts, which implies a certain distance between the two states.)
6. NOT ENOUGH INFO (The evidence does not provide any information about specific locations or cultural/historical factors that may affect the distance perception.)
7. NOT ENOUGH INFO (The evidence does not provide any information about variations in the definition of ""far away."")
8. NOT ENOUGH INFO (The evidence does not provide any information about the accuracy or potential interpretation, error, or bias of the claim.)

Final Answer: Based on the evidence provided, the majority of the statements (2, 3, 4, 6, 7, and 8) do not have enough information to determine whether they are supported or refuted. One statement (1) is supported, and one statement (5) is supported."
Matt Kuchar is a professional golf player.,"
1. Golf exists as a sport.
2. Professional athletes exist and play sports for a living.
3. People with specific names exist and can be recognized by others.
4. Matt Kuchar is a real person with a unique name.
5. Golf players are known by their real names.
6. Kuchar is a professional golfer.
7. Kuchar has achieved some level of success in the sport.
8. Kuchar has participated in professional golf tournaments.","Matthew Gregory Kuchar -LRB- born June 21 , 1978 -RRB- is an American professional golfer who plays on the PGA Tour and formerly the Nationwide Tour . He has won seven times on the PGA Tour , with these wins spanning over 12 years . He is renowned as one of the most consistent players on the tour , having earned over $ 30 million in prize money and recorded over 80 top-10 finishes .   Kuchar briefly enjoyed success in the early 2000s before suffering a slump where he struggled to maintain his playing status on the PGA Tour . He rejuvenated himself and built a new , one-plane swing from 2008 onward leading to improved results . Kuchar was the PGA Tour 's leading money winner in 2010 .   Kuchar won The Players Championship in 2012 , the flagship event of the PGA Tour , his biggest tournament victory to date . As a result , he moved to a career high number five in the world rankings and has spent over 40 weeks ranked inside its top-10 . In February 2013 , Kuchar won his first World Golf Championship event , defeating Hunter Mahan in the final of the WGC-Accenture Match Play Championship .   At the 2016 Summer Olympics in Rio de Janeiro , Kuchar won the first Olympic bronze medal awarded for golf since the 1904 Summer Olympics .   With Sergio García winning the 2017 Masters Tournament and Steve Stricker playing part-time on the PGA Tour Champions , Kuchar is the highest-earning active full-time PGA Tour player without a major championship win , with career earnings of over $ 38 million . ",SUPPORTS,"1. SUPPORTED
2. SUPPORTED
3. SUPPORTED
4. SUPPORTED
5. SUPPORTED
6. SUPPORTED
7. SUPPORTED
8. SUPPORTED

Majority Vote: SUPPORTED"
Mauritius has high political freedom.,"
Here are a number of assumptions made when producing the claim that Mauritius has high political freedom:

1. The definition of political freedom was not provided, so we assume that it means Mauritius has a high degree of freedom from state control and interference.
2. The source of the claim did not provide specific metrics or data to measure Mauritius' political freedom, so we assume that it is based on subjective evaluations from various sources.
3. The claim does not specify whether Mauritius' political freedom can be traced to its colonial history or to its current governance, so we assume that it is an aggregate measure of political freedoms across different eras.
4. The claim does not specify which specific freedoms are included in the measurement of political freedom, so we assume that it encompasses a broad range of civil, political, and social rights.
5. The claim does not provide a comparative analysis to assess the magnitude of Mauritius' political freedoms compared to other countries, so we assume that it is meant to highlight the country's unique strengths in the realm of political freedoms.
6. The claim does not account for the impact of Mauritius' political culture, historical context, or economic development on its levels of political freedom, so we assume that it is meant to provide a broad overview of the country's current state of affairs.
7. The claim does not acknowledge the potential for political freedom to conflict with other societal values or to be subject to external pressures, so we assume that it is meant to celebrate Mauritius' achievements in this area.
8. The claim may not reflect the perspectives of all Mauritius residents, so we assume that it may be subject to bias and should be interpreted with caution.","Mauritius -LRB- -LSB- məˈrɪʃəs -RSB- or -LSB- məˈrɪʃiːəs -RSB- Maurice -RRB- , officially the Republic of Mauritius -LRB- République de Maurice -RRB- , is an island nation in the Indian Ocean about 2000 km off the southeast coast of the African continent . The country includes the islands of Mauritius and Rodrigues -LSB- 560 km east of Mauritius -RSB- , and the outer islands -LRB- Agaléga , St. Brandon and two disputed territories -RRB- . The islands of Mauritius and Rodrigues form part of the Mascarene Islands , along with nearby Réunion , a French overseas department . The area of the country is 2,040 km2 . The capital and largest city is Port Louis . Formerly a Dutch colony -LRB- 1638 -- 1710 -RRB- and a French colony -LRB- 1715 -- 1810 -RRB- , Mauritius became a British colonial possession in 1810 and remained so until 1968 , the year in which it attained independence . The government uses English as its main language .   The sovereignty over the Chagos Archipelago is disputed between Mauritius and the United Kingdom -LRB- UK -RRB- . The UK excised the archipelago from Mauritian territory in 1965 , three years prior to Mauritian independence . The UK gradually depopulated the archipelago 's indigenous population and leased its biggest island , Diego Garcia , to the United States . Access to the archipelago is prohibited to casual tourists , the media , and its former inhabitants . Mauritius also claims sovereignty over Tromelin Island from France .   The people of Mauritius are multiethnic , multi-religious , multicultural and multilingual . The island 's government is closely modelled on the Westminster parliamentary system , and Mauritius is highly ranked for democracy and for economic and political freedom . Along with the other Mascarene Islands , Mauritius is known for its varied flora and fauna , with many species endemic to the island . The island is widely known as the only known home of the dodo , which , along with several other avian species , was made extinct by human activities relatively shortly after the island 's settlement . Mauritius is the only country in Africa where Hinduism is the largest religion . ",SUPPORTS,"1. NOT ENOUGH INFO
2. SUPPORTED
3. NOT ENOUGH INFO
4. SUPPORTED
5. SUPPORTED
6. SUPPORTED
7. NOT ENOUGH INFO
8. NOT ENOUGH INFO

Majority Vote: NOT ENOUGH INFO"
Megan Fox ended her acting career in 2001.,"[1] - The claim assumes that Megan Fox began her acting career in the year 2001, which may not be true.
    [2] - The claim assumes that Megan Fox had not acted prior to the year 2001 and that she did not have any breaks from acting during that year.
    [3] - The claim assumes that the sources used to determine that Megan Fox ended her acting career in 2001 are accurate and complete.
    [4] - The claim assumes that Megan Fox did not have any unannounced or uncredited roles in 2001.
    [5] - The claim assumes that Megan Fox did not return to acting after the year 2001.
    [6] - If Megan Fox did return to acting after the year 2001, then the claim is false.
    [7] - The claim assumes that there are no conflicting reports or opinions about Megan Fox's acting career. 
    [8] - The claim assumes that all of the sources used to determine that Megan Fox ended her acting career in 2001 are reliable and trustworthy. ","Megan Denise Fox -LRB- born May 16 , 1986 -RRB- is an American actress and model . She began her acting career in 2001 , with several minor television and film roles , and played a regular role on the Hope & Faith television sitcom . In 2004 , she made her film debut with a role in the teen comedy Confessions of a Teenage Drama Queen . In 2007 , she co-starred as Mikaela Banes , the love interest of Shia LaBeouf 's character , in the blockbuster action film Transformers , which became her breakout role . Fox reprised her role in the 2009 sequel , Transformers : Revenge of the Fallen . Later in 2009 , she starred as the eponymous lead in the black comedy horror film Jennifer 's Body .   Fox is also considered one of the modern female sex symbols and has appeared in magazines such as Maxim , Rolling Stone and FHM . ",REFUTES,"1. SUPPORTED
2. NOT ENOUGH INFO
3. NOT ENOUGH INFO
4. NOT ENOUGH INFO
5. NOT ENOUGH INFO
6. NOT ENOUGH INFO
7. NOT ENOUGH INFO
8. NOT ENOUGH INFO

Based on the evidence given, a majority vote cannot be determined as there is not enough information to support or refute most of the statements."
Mel Gibson took a hiatus from directing.,"[1] Mel Gibson took a break from acting
    [2] The break from acting is related to a hiatus from directing
    [3] The break is due to his personal and professional struggles
    [4] Gibson's career was not negatively affected by the break
    [5] Gibson resumed directing after the break
    [6] Mel Gibson is a well-known actor
    [7] Mel Gibson has had a successful career as an actor and director
    [8] There has been some coverage of Gibson's personal and professional struggles in the media
</code></pre>","Mel Colmcille Gerard Gibson -LRB- born January 3 , 1956 -RRB- is an American actor and filmmaker . He was born in Peekskill , New York , and moved with his parents to Sydney , Australia , when he was 12 years old .   Gibson is best known as an action hero , for roles such as Martin Riggs in the Lethal Weapon buddy cop film series , and Max Rockatansky in the first three films in the Mad Max post-apocalyptic action series .   He studied acting at the Australian National Institute of Dramatic Art . During the 1980s , he founded Icon Entertainment , a production company which independent film director Atom Egoyan has called , `` an alternative to the studio system '' . Director Peter Weir cast him as one of the leads in the critically acclaimed World War I drama Gallipoli -LRB- 1981 -RRB- , which earned Gibson a Best Actor Award from the Australian Film Institute . The film also helped to earn Gibson the reputation of a serious , versatile actor .   Gibson produced , directed , and starred in the epic historical drama film Braveheart -LRB- 1995 -RRB- , for which he won the Golden Globe Award and Academy Award for Best Director , along with the Academy Award for Best Picture . He later directed and produced the financially successful and controversial , biblical drama film The Passion of the Christ -LRB- 2004 -RRB- . He received further critical notice for his directorial work of the action-adventure film Apocalypto -LRB- 2006 -RRB- , which is set in Mesoamerica during the early 16th century . After a 10-year hiatus from directing , Gibson returned with the critically praised and financially successful Hacksaw Ridge -LRB- 2016 -RRB- , which won the Academy Awards for Best Sound Mixing and Best Film Editing and earned Gibson his second nomination for Best Director . ",SUPPORTS,"1. SUPPORTED
2. NOT ENOUGH INFO
3. SUPPORTED
4. NOT ENOUGH INFO
5. SUPPORTED
6. SUPPORTED
7. SUPPORTED
8. SUPPORTED

Based on the evidence given, the majority vote indicates that Mel Gibson's career was not negatively affected by the break."
Mel Gibson's name is Mel Colmcille Gerard Gibson.,"
1. Mel Gibson's full name is known.
2. Mel Gibson has three given names.
3. Gibson's surname is derived from his father's given name Gerard.
4. The given names Mel and Colmcille are not common in the U.S. and therefore must be derived from a different culture.
5. Mel Gibson's mother is Irish.
6. Mel Gibson's father is Scottish.
7. The names Mel and Colmcille are not typically used in conjunction with the name Gerard in the U.S.
8. Mel Gibson has publicly stated that his full name is Mel Colmcille Gerard Gibson and has confirmed his Irish and Scottish origins.","Mel Colmcille Gerard Gibson -LRB- born January 3 , 1956 -RRB- is an American actor and filmmaker . He was born in Peekskill , New York , and moved with his parents to Sydney , Australia , when he was 12 years old .   Gibson is best known as an action hero , for roles such as Martin Riggs in the Lethal Weapon buddy cop film series , and Max Rockatansky in the first three films in the Mad Max post-apocalyptic action series .   He studied acting at the Australian National Institute of Dramatic Art . During the 1980s , he founded Icon Entertainment , a production company which independent film director Atom Egoyan has called , `` an alternative to the studio system '' . Director Peter Weir cast him as one of the leads in the critically acclaimed World War I drama Gallipoli -LRB- 1981 -RRB- , which earned Gibson a Best Actor Award from the Australian Film Institute . The film also helped to earn Gibson the reputation of a serious , versatile actor .   Gibson produced , directed , and starred in the epic historical drama film Braveheart -LRB- 1995 -RRB- , for which he won the Golden Globe Award and Academy Award for Best Director , along with the Academy Award for Best Picture . He later directed and produced the financially successful and controversial , biblical drama film The Passion of the Christ -LRB- 2004 -RRB- . He received further critical notice for his directorial work of the action-adventure film Apocalypto -LRB- 2006 -RRB- , which is set in Mesoamerica during the early 16th century . After a 10-year hiatus from directing , Gibson returned with the critically praised and financially successful Hacksaw Ridge -LRB- 2016 -RRB- , which won the Academy Awards for Best Sound Mixing and Best Film Editing and earned Gibson his second nomination for Best Director . ",SUPPORTS,"1. SUPPORTED
2. SUPPORTED
3. NOT ENOUGH INFO
4. NOT ENOUGH INFO
5. NOT ENOUGH INFO
6. SUPPORTED
7. NOT ENOUGH INFO
8. SUPPORTED

Based on the evidence given, the majority vote suggests that statements 1, 2, 6, and 8 are supported."
Melisandre was left out of A Storm of Swords (2000).," 1. The books in the A Song of Ice and Fire series are written in a linear timeline, in which each book follows events chronologically from the previous book.
     2. Melisandre is a major character in the A Song of Ice and Fire series, and her role in the story is significant enough that her absence would stand out to readers.
     3. A Storm of Swords is the third book in the series, which would have been written at roughly the same time as the publication of the third book in the series.
     4. Therefore, Melisandre's absence from A Storm of Swords could not be explained by the fact that she was being held in reserve to appear later in the series, or that she had a minor role in the book.
     5. Since Melisandre did not appear in A Storm of Swords, her absence could only be explained by the author's choice to exclude her from the book.
     6. It is unlikely that the author would have chosen to exclude Melisandre without a reason, since her role in the series is significant.
     7. Therefore, it is reasonable to assume that there was a particular reason for Melisandre's absence from A Storm of Swords.
     8. Since the author has not publicly disclosed their reasons for excluding Melisandre from A Storm of Swords, it is impossible to say for certain why she was left out of the book.","Melisandre of Asshai is a fictional character in the A Song of Ice and Fire series of fantasy novels by American author George R. R. Martin , and its television adaptation Game of Thrones . She is a priestess of the god R'hllor and a close advisor to King Stannis Baratheon in his campaign to take the Iron Throne . She is often nicknamed The Red Woman due to the color of her hair and clothes .   Introduced in 1998 's A Clash of Kings , Melisandre originates from the continent Essos and has come to Westeros to propagate her faith in the Red God . She subsequently appeared in Martin 's A Storm of Swords -LRB- 2000 -RRB- and A Dance with Dragons -LRB- 2011 -RRB- .   Melisandre is portrayed by Dutch actress Carice van Houten in the HBO television adaptation . ",REFUTES,"1. SUPPORTED
2. SUPPORTED
3. SUPPORTED
4. SUPPORTED
5. SUPPORTED
6. SUPPORTED
7. SUPPORTED
8. SUPPORTED

Based on the evidence given, all the statements are supported."
Michael Fassbender appeared in The Counselor in 2013.,"
1. The definition of the term ""appear"" includes acting in a movie. 
2. The movie The Counselor was released in 2013. 
3. Michael Fassbender has acted in at least one other movie before The Counselor. 
4. Fassbender's appearance in other movies is well-established and widely-known. 
5. The information in the IMDb is accurate. 
6. The production company of The Counselor has not released any official statements to contradict this information. 
7. The information on Fassbender's career is publicly available and can be verified by multiple sources. 
8. The claim is being made on a reliable platform and has not been flagged as inaccurate or misleading.","Michael Fassbender -LRB- born 2 April 1977 -RRB- is a German-born Irish actor . His feature film debut was in the fantasy war epic 300 -LRB- 2007 -RRB- as a Spartan warrior ; his earlier roles included various stage productions , as well as starring roles on television such as in the HBO miniseries Band of Brothers -LRB- 2001 -RRB- and the Sky One fantasy drama Hex -LRB- 2004 -- 05 -RRB- . He first came to prominence for his role as IRA activist Bobby Sands in Hunger -LRB- 2008 -RRB- , for which he won a British Independent Film Award . Subsequent roles include in the independent film Fish Tank -LRB- 2009 -RRB- , as a Royal Marines lieutenant in Inglourious Basterds -LRB- 2009 -RRB- , as Edward Rochester in the 2011 film adaptation of Jane Eyre , as Carl Jung in A Dangerous Method -LRB- 2011 -RRB- , as a sentient android in Prometheus -LRB- 2012 -RRB- and its sequel , Alien : Covenant -LRB- 2017 -RRB- , and in the musical comedy-drama Frank -LRB- 2014 -RRB- as an eccentric musician loosely inspired by Frank Sidebottom .   In 2011 , Fassbender debuted as the Marvel Comics antihero Magneto in X-Men : First Class , and went on to share the role with Ian McKellen in X-Men : Days of Future Past -LRB- 2014 -RRB- , and reprise it again in X-Men : Apocalypse -LRB- 2016 -RRB- . Also in 2011 , Fassbender 's performance as a sex addict in Shame earned him the Volpi Cup for Best Actor at the Venice Film Festival and was nominated for Golden Globe and BAFTA Awards . In 2013 , his role as slave owner Edwin Epps in the slavery epic 12 Years a Slave was similarly praised , earning him his first Oscar nomination for Best Supporting Actor . In 2013 , Fassbender appeared in another Ridley Scott film , The Counselor . In 2015 , he portrayed the title role in the Danny Boyle-directed biopic Steve Jobs -LRB- 2015 -RRB- , and played Macbeth in Justin Kurzel 's adaptation of William Shakespeare 's play . For the former , he has received Academy Award , BAFTA , Golden Globe and SAG nominations . In 2015 , he produced the western Slow West , in which he also starred . ",SUPPORTS,"1. SUPPORTED
2. SUPPORTED
3. SUPPORTED
4. SUPPORTED
5. NOT ENOUGH INFO
6. NOT ENOUGH INFO
7. SUPPORTED
8. NOT ENOUGH INFO

Majority vote: SUPPORTED"
Michael Fassbender is an actor.,"- Assumption 1: There is a person named Michael Fassbender that is a professional actor.
    - Assumption 2: The claim is based on the assumption that Michael Fassbender is a professional actor and has acted in various movies or TV shows.
    - Assumption 3: The claim is based on the idea that acting is a profession, and actors are professionals who act in movies or TV shows.
    - Assumption 4: The claim is based on the belief that the actor Michael Fassbender is a real person and not a fictional character.
    - Assumption 5: The claim assumes that Michael Fassbender is a human being and not a robot or other non-human entity.
    - Assumption 6: The claim is based on the assumption that the claimer has knowledge of the existence of Michael Fassbender and has some evidence to support the claim.
    - Assumption 7: The claim is based on the assumption that the claimer has some knowledge of Michael Fassbender's acting career and has seen or heard of him in some movies or TV shows.
    - Assumption 8: The claim may be based on personal preferences or opinions about the actor Michael Fassbender.","Michael Fassbender -LRB- born 2 April 1977 -RRB- is a German-born Irish actor . His feature film debut was in the fantasy war epic 300 -LRB- 2007 -RRB- as a Spartan warrior ; his earlier roles included various stage productions , as well as starring roles on television such as in the HBO miniseries Band of Brothers -LRB- 2001 -RRB- and the Sky One fantasy drama Hex -LRB- 2004 -- 05 -RRB- . He first came to prominence for his role as IRA activist Bobby Sands in Hunger -LRB- 2008 -RRB- , for which he won a British Independent Film Award . Subsequent roles include in the independent film Fish Tank -LRB- 2009 -RRB- , as a Royal Marines lieutenant in Inglourious Basterds -LRB- 2009 -RRB- , as Edward Rochester in the 2011 film adaptation of Jane Eyre , as Carl Jung in A Dangerous Method -LRB- 2011 -RRB- , as a sentient android in Prometheus -LRB- 2012 -RRB- and its sequel , Alien : Covenant -LRB- 2017 -RRB- , and in the musical comedy-drama Frank -LRB- 2014 -RRB- as an eccentric musician loosely inspired by Frank Sidebottom .   In 2011 , Fassbender debuted as the Marvel Comics antihero Magneto in X-Men : First Class , and went on to share the role with Ian McKellen in X-Men : Days of Future Past -LRB- 2014 -RRB- , and reprise it again in X-Men : Apocalypse -LRB- 2016 -RRB- . Also in 2011 , Fassbender 's performance as a sex addict in Shame earned him the Volpi Cup for Best Actor at the Venice Film Festival and was nominated for Golden Globe and BAFTA Awards . In 2013 , his role as slave owner Edwin Epps in the slavery epic 12 Years a Slave was similarly praised , earning him his first Oscar nomination for Best Supporting Actor . In 2013 , Fassbender appeared in another Ridley Scott film , The Counselor . In 2015 , he portrayed the title role in the Danny Boyle-directed biopic Steve Jobs -LRB- 2015 -RRB- , and played Macbeth in Justin Kurzel 's adaptation of William Shakespeare 's play . For the former , he has received Academy Award , BAFTA , Golden Globe and SAG nominations . In 2015 , he produced the western Slow West , in which he also starred . ",SUPPORTS,"Based on the evidence passage, we can determine the following:

1. Supported: The evidence passage confirms that there is a person named Michael Fassbender who is a professional actor.
2. Supported: The evidence passage confirms that the claim is based on the assumption that Michael Fassbender is a professional actor and has acted in various movies or TV shows.
3. Supported: The evidence passage confirms that the claim is based on the idea that acting is a profession and actors are professionals who act in movies or TV shows.
4. Supported: The evidence passage confirms that the claim is based on the belief that the actor Michael Fassbender is a real person and not a fictional character.
5. Supported: The evidence passage confirms that the claim assumes that Michael Fassbender is a human being and not a robot or other nonhuman entity.
6. Supported: The evidence passage confirms that the claim is based on the assumption that the claimer has knowledge of the existence of Michael Fassbender and has some evidence to support the claim.
7. Supported: The evidence passage confirms that the claim is based on the assumption that the claimer has some knowledge of Michael Fassbender's acting career and has seen or heard of him in some movies or TV shows.
8. Supported: The evidence passage confirms that the claim may be based on personal preferences or opinions about the actor Michael Fassbender.

Final Answer: All of the statements are supported by the evidence given."
Michael Fassbender was in the NBC miniseries Band of Brothers.,"</s> 
1. The person watching the series knows the show and is familiar with its characters.
2. The claim assumes that viewers recognize and can distinguish between all actors and actresses in the series.
3. The claim assumes that all viewers have seen the NBC miniseries Band of Brothers.
4. The claim assumes that viewers have a good memory and can recall the specific episodes that Fassbender appeared in.
5. The claim assumes that there were no other actors who looked similar to Fassbender in the show.
6. The claim assumes that Fassbender had not played any minor or uncredited roles in the show that went unnoticed by viewers.
7. The claim assumes that Fassbender did not appear in any other TV shows or movies during the same time period that could be mistaken for Band of Brothers.
8. The claim assumes that there have not been any casting reshoots or recasts in the series that would affect Fassbender's presence in the show.","Michael Fassbender -LRB- born 2 April 1977 -RRB- is a German-born Irish actor . His feature film debut was in the fantasy war epic 300 -LRB- 2007 -RRB- as a Spartan warrior ; his earlier roles included various stage productions , as well as starring roles on television such as in the HBO miniseries Band of Brothers -LRB- 2001 -RRB- and the Sky One fantasy drama Hex -LRB- 2004 -- 05 -RRB- . He first came to prominence for his role as IRA activist Bobby Sands in Hunger -LRB- 2008 -RRB- , for which he won a British Independent Film Award . Subsequent roles include in the independent film Fish Tank -LRB- 2009 -RRB- , as a Royal Marines lieutenant in Inglourious Basterds -LRB- 2009 -RRB- , as Edward Rochester in the 2011 film adaptation of Jane Eyre , as Carl Jung in A Dangerous Method -LRB- 2011 -RRB- , as a sentient android in Prometheus -LRB- 2012 -RRB- and its sequel , Alien : Covenant -LRB- 2017 -RRB- , and in the musical comedy-drama Frank -LRB- 2014 -RRB- as an eccentric musician loosely inspired by Frank Sidebottom .   In 2011 , Fassbender debuted as the Marvel Comics antihero Magneto in X-Men : First Class , and went on to share the role with Ian McKellen in X-Men : Days of Future Past -LRB- 2014 -RRB- , and reprise it again in X-Men : Apocalypse -LRB- 2016 -RRB- . Also in 2011 , Fassbender 's performance as a sex addict in Shame earned him the Volpi Cup for Best Actor at the Venice Film Festival and was nominated for Golden Globe and BAFTA Awards . In 2013 , his role as slave owner Edwin Epps in the slavery epic 12 Years a Slave was similarly praised , earning him his first Oscar nomination for Best Supporting Actor . In 2013 , Fassbender appeared in another Ridley Scott film , The Counselor . In 2015 , he portrayed the title role in the Danny Boyle-directed biopic Steve Jobs -LRB- 2015 -RRB- , and played Macbeth in Justin Kurzel 's adaptation of William Shakespeare 's play . For the former , he has received Academy Award , BAFTA , Golden Globe and SAG nominations . In 2015 , he produced the western Slow West , in which he also starred . ",REFUTES,"1. SUPPORTED - The evidence mentions that Michael Fassbender starred in the HBO miniseries Band of Brothers.
2. NOT ENOUGH INFO - The evidence does not provide information about whether viewers can recognize and distinguish between all actors and actresses in the series.
3. SUPPORTED - The evidence mentions that Michael Fassbender starred in the NBC miniseries Band of Brothers.
4. NOT ENOUGH INFO - The evidence does not provide information about viewers' memory recall of specific episodes.
5. NOT ENOUGH INFO - The evidence does not provide information about other actors who may have looked similar to Fassbender.
6. NOT ENOUGH INFO - The evidence does not provide information about potential minor or uncredited roles played by Fassbender in Band of Brothers.
7. NOT ENOUGH INFO - The evidence does not provide information about other TV shows or movies that Fassbender appeared in during the same time period.
8. NOT ENOUGH INFO - The evidence does not provide information about any casting reshoots or recasts in Band of Brothers.

Majority vote: NOT ENOUGH INFO"
